log_id,transformer_id,substation_id,region,state,maintenance_type,failure_type,severity,reported_date,scheduled_date,completed_date,technician_id,technician_name,hours_spent,parts_replaced,cost_inr,downtime_hours,root_cause,resolution_notes,follow_up_required,next_inspection_date
ML-2025_05-0046,TRF-E-0046,SUB-E-030,EAST,WestBengal,PREVENTIVE,NONE,HIGH,2025-05-18,2025-05-19,2025-05-24,TECH-1172,Deepak Singh,10.1,COOLING_FAN,110577.2,28.5,Overloading,Performed oil filtration,YES,2025-08-17
ML-2025_05-0047,TRF-W-0078,SUB-W-043,WEST,Goa,EMERGENCY,OVERHEATING,CRITICAL,2025-05-19,2025-05-20,2025-05-26,TECH-1171,Mahesh Joshi,1.9,NONE,342708.93,25.7,Insufficient maintenance,Temporary fix applied,YES,2025-08-18
ML-2025_05-0048,TRF-S-0090,SUB-S-048,SOUTH,Karnataka,PREVENTIVE,WINDING_FAILURE,CRITICAL,2025-05-19,2025-06-02,2025-06-07,TECH-1077,Amit Patel,19.3,BUSHING,242769.65,0.7,Weather damage,Tightened connections,YES,2025-08-31
ML-2025_05-0049,TRF-C-0037,SUB-C-014,CENTRAL,MP,CORRECTIVE,OVERHEATING,HIGH,2025-05-25,2025-05-30,2025-06-01,TECH-1129,Priya Sharma,11.4,BUSHING,154206.75,7.7,Insufficient maintenance,Temporary fix applied,YES,2025-08-28
ML-2025_05-0050,TRF-N-0013,SUB-N-024,NORTH,Delhi,INSPECTION,INSULATION_BREAKDOWN,CRITICAL,2025-05-11,2025-05-25,2025-05-27,TECH-1179,Deepak Singh,20.0,GASKET,119388.76,62.5,Voltage surge,Performed oil filtration,NO,2025-08-23
ML-2025_05-0051,TRF-C-0003,SUB-C-008,CENTRAL,Uttarakhand,INSPECTION,BUSHING_CRACK,CRITICAL,2025-05-03,2025-05-05,,TECH-1130,Suresh Reddy,,OIL_FILTER,,23.0,Weather damage,Temporary fix applied,NO,2025-08-03
ML-2025_05-0052,TRF-E-0018,SUB-E-035,EAST,WestBengal,INSPECTION,INSULATION_BREAKDOWN,LOW,2025-05-24,2025-06-06,2025-06-07,TECH-1035,Sanjay Verma,28.8,NONE,255811.38,24.6,Rodent damage,Performed oil filtration,NO,2025-09-04
ML-2025_05-0053,TRF-N-0021,SUB-N-015,NORTH,UP,PREVENTIVE,NONE,HIGH,2025-05-25,2025-06-05,2025-06-12,TECH-1112,Anil Gupta,37.3,NONE,387716.24,33.7,Age deterioration,Tightened connections,YES,2025-09-03
ML-2025_05-0054,TRF-W-0065,SUB-W-030,WEST,Maharashtra,EMERGENCY,OVERHEATING,CRITICAL,2025-05-04,2025-05-05,2025-05-05,TECH-1137,Sanjay Verma,23.6,BUSHING,112173.95,35.0,Rodent damage,Performed oil filtration,YES,2025-08-03
ML-2025_05-0055,TRF-S-0039,SUB-S-033,SOUTH,Kerala,INSPECTION,TAP_CHANGER_FAULT,LOW,2025-05-29,2025-06-06,2025-06-07,TECH-1042,Amit Patel,16.6,NONE,344199.34,29.0,Overloading,Full overhaul completed,NO,2025-09-04
ML-2025_05-0056,TRF-C-0058,SUB-C-027,CENTRAL,HP,EMERGENCY,NONE,CRITICAL,2025-05-17,2025-05-31,2025-05-31,TECH-1168,Suresh Reddy,33.1,COOLING_FAN,241726.22,4.9,Weather damage,Tightened connections,NO,2025-08-29
ML-2025_05-0057,TRF-C-0046,SUB-C-039,CENTRAL,Chhattisgarh,CORRECTIVE,TAP_CHANGER_FAULT,CRITICAL,2025-05-13,2025-05-21,2025-05-23,TECH-1156,Rajesh Kumar,20.1,BUSHING,399678.9,37.2,Insufficient maintenance,Temporary fix applied,NO,2025-08-19
ML-2025_05-0058,TRF-S-0100,SUB-S-016,SOUTH,Kerala,PREVENTIVE,OIL_LEAK,MEDIUM,2025-05-02,2025-05-14,2025-05-19,TECH-1122,Sanjay Verma,28.2,OIL_FILTER,478711.58,23.6,Unknown,Full overhaul completed,NO,2025-08-12
ML-2025_05-0059,TRF-N-0053,SUB-N-029,NORTH,Delhi,INSPECTION,MOISTURE_INGRESS,CRITICAL,2025-05-11,2025-05-15,2025-05-20,TECH-1182,Anil Gupta,17.2,COOLING_FAN,220985.42,5.5,Age deterioration,Performed oil filtration,NO,2025-08-13
ML-2025_05-0060,TRF-S-0096,SUB-S-009,SOUTH,Telangana,CORRECTIVE,NONE,MEDIUM,2025-05-28,2025-05-31,2025-06-06,TECH-1045,Amit Patel,23.7,OIL_FILTER,381980.48,60.2,Voltage surge,Awaiting parts,NO,2025-08-29
ML-2025_05-0061,TRF-W-0055,SUB-W-011,WEST,Maharashtra,EMERGENCY,NONE,HIGH,2025-05-20,2025-05-22,2025-05-23,TECH-1030,Deepak Singh,13.6,NONE,205053.42,39.8,Age deterioration,Tightened connections,NO,2025-08-20
ML-2025_05-0062,TRF-N-0027,SUB-N-038,NORTH,Haryana,CORRECTIVE,NONE,MEDIUM,2025-05-27,2025-06-03,2025-06-03,TECH-1192,Suresh Reddy,47.8,NONE,11887.51,71.8,Rodent damage,Performed oil filtration,NO,2025-09-01
ML-2025_05-0063,TRF-E-0055,SUB-E-035,EAST,WestBengal,PREVENTIVE,OIL_LEAK,MEDIUM,2025-05-16,2025-05-30,,TECH-1021,Suresh Reddy,,GASKET,,32.1,Age deterioration,Tightened connections,YES,2025-08-28
ML-2025_05-0064,TRF-N-0053,SUB-N-030,NORTH,Haryana,EMERGENCY,TAP_CHANGER_FAULT,MEDIUM,2025-05-10,2025-05-20,2025-05-22,TECH-1029,Mahesh Joshi,8.5,TAP_CHANGER,392347.27,31.2,Weather damage,Temporary fix applied,YES,2025-08-18
ML-2025_05-0065,TRF-C-0051,SUB-C-049,CENTRAL,Uttarakhand,EMERGENCY,NONE,HIGH,2025-05-08,2025-05-18,,TECH-1158,Anil Gupta,,OIL_FILTER,,50.3,Weather damage,Awaiting parts,NO,2025-08-16
ML-2025_05-0066,TRF-S-0024,SUB-S-035,SOUTH,TamilNadu,CORRECTIVE,WINDING_FAILURE,CRITICAL,2025-05-15,2025-05-27,2025-06-03,TECH-1057,Anil Gupta,31.7,TAP_CHANGER,487595.4,40.6,Insufficient maintenance,Replaced faulty component,NO,2025-08-25
