log_id,transformer_id,substation_id,region,state,maintenance_type,failure_type,severity,reported_date,scheduled_date,completed_date,technician_id,technician_name,hours_spent,parts_replaced,cost_inr,downtime_hours,root_cause,resolution_notes,follow_up_required,next_inspection_date
ML-2025_04-0011,TRF-S-0030,SUB-S-043,SOUTH,Telangana,INSPECTION,TAP_CHANGER_FAULT,LOW,2025-04-21,2025-04-23,,TECH-1009,Anil Gupta,,COOLING_FAN,,41.0,Rodent damage,Full overhaul completed,YES,2025-07-22
ML-2025_04-0012,TRF-S-0057,SUB-S-019,SOUTH,TamilNadu,INSPECTION,NONE,LOW,2025-04-29,2025-05-12,2025-05-19,TECH-1078,Sanjay Verma,40.5,BUSHING,81807.05,38.6,Voltage surge,Replaced faulty component,NO,2025-08-10
ML-2025_04-0013,TRF-S-0055,SUB-S-026,SOUTH,Kerala,CORRECTIVE,INSULATION_BREAKDOWN,MEDIUM,2025-04-27,2025-05-06,2025-05-10,TECH-1051,Sanjay Verma,7.3,COOLING_FAN,313686.2,16.8,Overloading,Replaced faulty component,NO,2025-08-04
ML-2025_04-0014,TRF-E-0027,SUB-E-001,EAST,Odisha,PREVENTIVE,NONE,HIGH,2025-04-13,2025-04-23,2025-04-26,TECH-1105,Mahesh Joshi,21.7,OIL_FILTER,336812.12,30.8,Unknown,Tightened connections,YES,2025-07-22
ML-2025_04-0015,TRF-W-0079,SUB-W-040,WEST,Rajasthan,EMERGENCY,NONE,LOW,2025-04-28,2025-05-05,2025-05-12,TECH-1045,Deepak Singh,31.2,GASKET,32744.77,67.8,Overloading,Performed oil filtration,NO,2025-08-03
ML-2025_04-0016,TRF-W-0035,SUB-W-046,WEST,Gujarat,PREVENTIVE,NONE,HIGH,2025-04-06,2025-04-10,,TECH-1118,Priya Sharma,,BUSHING,,6.5,Overloading,Performed oil filtration,NO,2025-07-09
ML-2025_04-0017,TRF-E-0093,SUB-E-027,EAST,Bihar,INSPECTION,WINDING_FAILURE,CRITICAL,2025-04-02,2025-04-08,,TECH-1165,Mahesh Joshi,,WINDING_COIL,,59.4,Insufficient maintenance,Replaced faulty component,NO,2025-07-07
ML-2025_04-0018,TRF-E-0069,SUB-E-029,EAST,Odisha,INSPECTION,INSULATION_BREAKDOWN,LOW,2025-04-02,2025-04-09,2025-04-12,TECH-1047,Amit Patel,15.9,BUSHING,402318.9,42.1,Voltage surge,Full overhaul completed,NO,2025-07-08
ML-2025_04-0019,TRF-C-0032,SUB-C-032,CENTRAL,Chhattisgarh,CORRECTIVE,WINDING_FAILURE,MEDIUM,2025-04-10,2025-04-22,2025-04-24,TECH-1026,Amit Patel,5.0,BUSHING,64016.78,33.0,Age deterioration,Performed oil filtration,NO,2025-07-21
ML-2025_04-0020,TRF-C-0086,SUB-C-005,CENTRAL,HP,PREVENTIVE,MOISTURE_INGRESS,HIGH,2025-04-14,2025-04-27,2025-04-27,TECH-1178,Rajesh Kumar,38.5,GASKET,301140.8,25.4,Rodent damage,Awaiting parts,NO,2025-07-26
ML-2025_04-0021,TRF-S-0064,SUB-S-007,SOUTH,Karnataka,CORRECTIVE,NONE,CRITICAL,2025-04-20,2025-04-26,2025-04-27,TECH-1100,Deepak Singh,12.7,NONE,229929.74,11.8,Voltage surge,Monitoring ongoing,NO,2025-07-25
ML-2025_04-0022,TRF-S-0087,SUB-S-021,SOUTH,Kerala,INSPECTION,COOLING_FAN_FAIL,MEDIUM,2025-04-05,2025-04-07,2025-04-13,TECH-1190,Rajesh Kumar,33.5,GASKET,105166.55,20.9,Rodent damage,Full overhaul completed,YES,2025-07-06
ML-2025_04-0023,TRF-E-0002,SUB-E-018,EAST,Jharkhand,PREVENTIVE,OIL_LEAK,HIGH,2025-04-17,2025-05-01,2025-05-06,TECH-1158,Suresh Reddy,37.0,WINDING_COIL,40328.86,55.2,Voltage surge,Performed oil filtration,NO,2025-07-30
ML-2025_04-0024,TRF-W-0051,SUB-W-028,WEST,Gujarat,CORRECTIVE,LIGHTNING_DAMAGE,HIGH,2025-04-09,2025-04-19,2025-04-21,TECH-1107,Sanjay Verma,13.6,NONE,461034.54,34.1,Overloading,Performed oil filtration,NO,2025-07-18
ML-2025_04-0025,TRF-C-0045,SUB-C-035,CENTRAL,MP,CORRECTIVE,BUSHING_CRACK,LOW,2025-04-05,2025-04-06,2025-04-12,TECH-1168,Anil Gupta,27.9,COOLING_FAN,79700.14,20.6,Manufacturing defect,Tightened connections,NO,2025-07-05
ML-2025_04-0026,TRF-S-0097,SUB-S-043,SOUTH,Telangana,CORRECTIVE,MOISTURE_INGRESS,MEDIUM,2025-04-02,2025-04-05,2025-04-10,TECH-1166,Suresh Reddy,9.1,TAP_CHANGER,333719.75,68.7,Age deterioration,Full overhaul completed,NO,2025-07-04
ML-2025_04-0027,TRF-N-0083,SUB-N-043,NORTH,Punjab,PREVENTIVE,NONE,LOW,2025-04-11,2025-04-22,2025-04-22,TECH-1058,Rajesh Kumar,3.0,NONE,426575.49,16.2,Overloading,Replaced faulty component,YES,2025-07-21
ML-2025_04-0028,TRF-S-0023,SUB-S-005,SOUTH,Kerala,EMERGENCY,WINDING_FAILURE,HIGH,2025-04-28,2025-05-01,,TECH-1138,Amit Patel,,NONE,,39.1,Unknown,Full overhaul completed,NO,2025-07-30
ML-2025_04-0029,TRF-N-0034,SUB-N-036,NORTH,Delhi,INSPECTION,OVERHEATING,MEDIUM,2025-04-04,2025-04-17,2025-04-22,TECH-1173,Rajesh Kumar,3.0,NONE,92942.37,66.8,Unknown,Full overhaul completed,NO,2025-07-16
ML-2025_04-0030,TRF-S-0082,SUB-S-026,SOUTH,Kerala,INSPECTION,WINDING_FAILURE,CRITICAL,2025-04-27,2025-05-03,2025-05-09,TECH-1186,Amit Patel,11.2,COOLING_FAN,60337.57,10.1,Insufficient maintenance,Monitoring ongoing,NO,2025-08-01
ML-2025_04-0031,TRF-S-0089,SUB-S-005,SOUTH,TamilNadu,EMERGENCY,NONE,HIGH,2025-04-03,2025-04-07,2025-04-11,TECH-1137,Sanjay Verma,38.4,OIL_FILTER,144295.23,35.0,Manufacturing defect,Replaced faulty component,NO,2025-07-06
ML-2025_04-0032,TRF-C-0076,SUB-C-040,CENTRAL,Uttarakhand,PREVENTIVE,CORROSION,MEDIUM,2025-04-15,2025-04-18,2025-04-24,TECH-1029,Rajesh Kumar,3.7,NONE,214012.93,1.5,Overloading,Awaiting parts,YES,2025-07-17
ML-2025_04-0033,TRF-N-0070,SUB-N-022,NORTH,Haryana,INSPECTION,NONE,LOW,2025-04-01,2025-04-07,2025-04-09,TECH-1001,Anil Gupta,30.7,WINDING_COIL,405758.49,19.5,Weather damage,Temporary fix applied,YES,2025-07-06
ML-2025_04-0034,TRF-E-0079,SUB-E-011,EAST,WestBengal,PREVENTIVE,CORROSION,CRITICAL,2025-04-18,2025-04-30,2025-05-06,TECH-1042,Mahesh Joshi,36.5,GASKET,429608.31,12.8,Weather damage,Monitoring ongoing,NO,2025-07-29
ML-2025_04-0035,TRF-S-0065,SUB-S-022,SOUTH,TamilNadu,INSPECTION,NONE,CRITICAL,2025-04-07,2025-04-21,2025-04-22,TECH-1027,Sanjay Verma,21.4,TAP_CHANGER,482740.46,7.8,Manufacturing defect,Performed oil filtration,NO,2025-07-20
ML-2025_04-0036,TRF-C-0092,SUB-C-039,CENTRAL,Chhattisgarh,PREVENTIVE,CORROSION,MEDIUM,2025-04-26,2025-04-29,2025-05-02,TECH-1090,Amit Patel,22.7,OIL_FILTER,266535.71,23.4,Age deterioration,Full overhaul completed,NO,2025-07-28
ML-2025_04-0037,TRF-W-0097,SUB-W-041,WEST,Rajasthan,CORRECTIVE,NONE,LOW,2025-04-13,2025-04-15,2025-04-21,TECH-1168,Deepak Singh,12.6,OIL_FILTER,312479.11,33.6,Unknown,Full overhaul completed,YES,2025-07-14
ML-2025_04-0038,TRF-W-0075,SUB-W-035,WEST,Gujarat,EMERGENCY,MOISTURE_INGRESS,MEDIUM,2025-04-17,2025-04-29,2025-05-05,TECH-1189,Rajesh Kumar,47.6,COOLING_FAN,352240.13,27.1,Insufficient maintenance,Temporary fix applied,NO,2025-07-28
ML-2025_04-0039,TRF-S-0018,SUB-S-021,SOUTH,Telangana,CORRECTIVE,CORROSION,MEDIUM,2025-04-20,2025-05-04,2025-05-05,TECH-1088,Anil Gupta,11.5,TAP_CHANGER,337225.42,45.2,Age deterioration,Monitoring ongoing,NO,2025-08-02
ML-2025_04-0040,TRF-E-0057,SUB-E-018,EAST,Jharkhand,CORRECTIVE,TAP_CHANGER_FAULT,CRITICAL,2025-04-29,2025-05-02,2025-05-02,TECH-1152,Deepak Singh,4.0,NONE,289176.68,28.5,Age deterioration,Temporary fix applied,YES,2025-07-31
ML-2025_04-0041,TRF-C-0033,SUB-C-036,CENTRAL,Uttarakhand,EMERGENCY,WINDING_FAILURE,MEDIUM,2025-04-26,2025-05-06,2025-05-13,TECH-1156,Deepak Singh,6.3,NONE,125053.27,60.4,Voltage surge,Performed oil filtration,NO,2025-08-04
ML-2025_04-0042,TRF-C-0038,SUB-C-050,CENTRAL,MP,EMERGENCY,NONE,LOW,2025-04-18,2025-05-01,2025-05-07,TECH-1155,Amit Patel,32.2,NONE,404070.75,63.1,Voltage surge,Performed oil filtration,YES,2025-07-30
ML-2025_04-0043,TRF-N-0006,SUB-N-026,NORTH,UP,EMERGENCY,OIL_LEAK,LOW,2025-04-06,2025-04-13,2025-04-20,TECH-1140,Amit Patel,13.7,TAP_CHANGER,182491.78,7.5,Weather damage,Replaced faulty component,NO,2025-07-12
ML-2025_04-0044,TRF-N-0080,SUB-N-039,NORTH,UP,EMERGENCY,WINDING_FAILURE,HIGH,2025-04-11,2025-04-19,2025-04-22,TECH-1107,Sanjay Verma,1.7,NONE,395209.88,65.9,Age deterioration,Replaced faulty component,NO,2025-07-18
ML-2025_04-0045,TRF-N-0014,SUB-N-038,NORTH,Punjab,CORRECTIVE,NONE,HIGH,2025-04-22,2025-04-28,2025-05-04,TECH-1100,Deepak Singh,5.6,TAP_CHANGER,384790.79,13.8,Unknown,Temporary fix applied,NO,2025-07-27
ML-2025_04-0046,TRF-W-0098,SUB-W-031,WEST,Maharashtra,PREVENTIVE,BUSHING_CRACK,CRITICAL,2025-04-15,2025-04-25,,TECH-1165,Rajesh Kumar,,BUSHING,,8.1,Weather damage,Full overhaul completed,NO,2025-07-24
ML-2025_04-0047,TRF-N-0039,SUB-N-017,NORTH,Haryana,PREVENTIVE,OVERHEATING,HIGH,2025-04-02,2025-04-06,2025-04-10,TECH-1109,Suresh Reddy,39.5,WINDING_COIL,86593.17,67.7,Insufficient maintenance,Performed oil filtration,NO,2025-07-05
ML-2025_04-0048,TRF-N-0062,SUB-N-009,NORTH,Punjab,INSPECTION,BUSHING_CRACK,MEDIUM,2025-04-11,2025-04-17,2025-04-23,TECH-1032,Rajesh Kumar,16.6,GASKET,466275.72,46.6,Rodent damage,Full overhaul completed,YES,2025-07-16
ML-2025_04-0049,TRF-E-0039,SUB-E-035,EAST,Bihar,EMERGENCY,COOLING_FAN_FAIL,CRITICAL,2025-04-16,2025-04-21,2025-04-27,TECH-1084,Amit Patel,5.5,GASKET,269516.89,22.5,Unknown,Monitoring ongoing,YES,2025-07-20
ML-2025_04-0050,TRF-S-0014,SUB-S-011,SOUTH,TamilNadu,PREVENTIVE,TAP_CHANGER_FAULT,MEDIUM,2025-04-10,2025-04-16,2025-04-19,TECH-1169,Amit Patel,45.5,OIL_FILTER,465001.38,56.1,Weather damage,Monitoring ongoing,NO,2025-07-15
ML-2025_04-0051,TRF-W-0069,SUB-W-042,WEST,Gujarat,EMERGENCY,INSULATION_BREAKDOWN,HIGH,2025-04-16,2025-04-19,2025-04-23,TECH-1044,Amit Patel,28.5,TAP_CHANGER,89304.03,60.6,Overloading,Awaiting parts,NO,2025-07-18
ML-2025_04-0052,TRF-N-0063,SUB-N-024,NORTH,Delhi,INSPECTION,NONE,HIGH,2025-04-13,2025-04-15,2025-04-20,TECH-1014,Rajesh Kumar,18.1,OIL_FILTER,132871.55,32.7,Rodent damage,Full overhaul completed,NO,2025-07-14
ML-2025_04-0053,TRF-E-0039,SUB-E-029,EAST,Bihar,PREVENTIVE,MOISTURE_INGRESS,LOW,2025-04-21,2025-04-25,2025-04-27,TECH-1092,Deepak Singh,34.0,NONE,103722.2,20.8,Weather damage,Replaced faulty component,NO,2025-07-24
ML-2025_04-0054,TRF-S-0025,SUB-S-008,SOUTH,Karnataka,INSPECTION,NONE,LOW,2025-04-16,2025-04-25,2025-04-28,TECH-1177,Sanjay Verma,12.3,NONE,459629.86,70.6,Insufficient maintenance,Replaced faulty component,NO,2025-07-24
ML-2025_04-0055,TRF-C-0046,SUB-C-012,CENTRAL,HP,INSPECTION,NONE,HIGH,2025-04-18,2025-04-21,2025-04-22,TECH-1143,Suresh Reddy,9.6,OIL_FILTER,160163.16,8.8,Rodent damage,Full overhaul completed,NO,2025-07-20
ML-2025_04-0056,TRF-S-0013,SUB-S-033,SOUTH,TamilNadu,EMERGENCY,MOISTURE_INGRESS,MEDIUM,2025-04-11,2025-04-23,2025-04-23,TECH-1075,Deepak Singh,41.9,NONE,48373.06,34.5,Insufficient maintenance,Performed oil filtration,NO,2025-07-22
ML-2025_04-0057,TRF-C-0018,SUB-C-038,CENTRAL,Uttarakhand,INSPECTION,TAP_CHANGER_FAULT,HIGH,2025-04-03,2025-04-08,2025-04-14,TECH-1088,Rajesh Kumar,29.7,BUSHING,346299.4,8.1,Voltage surge,Full overhaul completed,NO,2025-07-07
ML-2025_04-0058,TRF-C-0021,SUB-C-007,CENTRAL,MP,INSPECTION,OVERHEATING,HIGH,2025-04-01,2025-04-10,2025-04-15,TECH-1044,Deepak Singh,19.3,NONE,389357.1,21.4,Unknown,Temporary fix applied,NO,2025-07-09
ML-2025_04-0059,TRF-W-0100,SUB-W-032,WEST,Rajasthan,EMERGENCY,BUSHING_CRACK,LOW,2025-04-06,2025-04-15,2025-04-20,TECH-1152,Rajesh Kumar,9.4,OIL_FILTER,223348.15,42.0,Manufacturing defect,Monitoring ongoing,NO,2025-07-14
ML-2025_04-0060,TRF-E-0011,SUB-E-030,EAST,WestBengal,EMERGENCY,CORROSION,HIGH,2025-04-17,2025-04-26,2025-05-03,TECH-1068,Anil Gupta,39.1,TAP_CHANGER,398428.49,14.8,Unknown,Monitoring ongoing,NO,2025-07-25
ML-2025_04-0061,TRF-C-0093,SUB-C-014,CENTRAL,MP,CORRECTIVE,INSULATION_BREAKDOWN,CRITICAL,2025-04-13,2025-04-22,2025-04-24,TECH-1138,Priya Sharma,37.4,GASKET,306828.53,71.0,Manufacturing defect,Tightened connections,NO,2025-07-21
ML-2025_04-0062,TRF-C-0080,SUB-C-043,CENTRAL,Chhattisgarh,PREVENTIVE,LIGHTNING_DAMAGE,LOW,2025-04-01,2025-04-15,,TECH-1095,Anil Gupta,,COOLING_FAN,,40.3,Insufficient maintenance,Full overhaul completed,NO,2025-07-14
ML-2025_04-0063,TRF-S-0096,SUB-S-033,SOUTH,TamilNadu,INSPECTION,OIL_LEAK,HIGH,2025-04-27,2025-05-10,2025-05-15,TECH-1050,Amit Patel,32.6,BUSHING,374333.76,8.8,Weather damage,Monitoring ongoing,YES,2025-08-08
ML-2025_04-0064,TRF-N-0040,SUB-N-009,NORTH,Punjab,EMERGENCY,NONE,CRITICAL,2025-04-08,2025-04-22,2025-04-29,TECH-1011,Rajesh Kumar,33.4,WINDING_COIL,414044.13,57.4,Manufacturing defect,Replaced faulty component,NO,2025-07-21
ML-2025_04-0065,TRF-E-0027,SUB-E-026,EAST,WestBengal,EMERGENCY,CORROSION,CRITICAL,2025-04-02,2025-04-05,2025-04-12,TECH-1053,Suresh Reddy,36.6,COOLING_FAN,457931.24,5.7,Voltage surge,Temporary fix applied,NO,2025-07-04
ML-2025_04-0066,TRF-C-0091,SUB-C-001,CENTRAL,Uttarakhand,EMERGENCY,TAP_CHANGER_FAULT,LOW,2025-04-08,2025-04-12,2025-04-12,TECH-1094,Deepak Singh,22.2,GASKET,47544.37,24.1,Insufficient maintenance,Monitoring ongoing,NO,2025-07-11
